strain	cluster	depth	ORF1a_misStops	ORF1a_deletions	ORF1a_koType
PapuaNewGuinea/PNG3202/2020	1	2	11140-11142:ATG>TGA	None	earlyStop
PapuaNewGuinea/PNG3196/2020	1	2	11140-11142:ATG>TGA	None	earlyStop
USA/WA-UW132/2020	2	2	6220-6222:TTA>TAA	None	earlyStop
USA/WA-S309/2020	3	2	4642-4644:GAA>TAA	None	earlyStop
Bolivia/SAN-UPCH-1074/2020	4	2	11140-11142:ATG>TGA	None	earlyStop
Tunisia/55400/2020	5	2	6850-6852:ACT>TAG	None	earlyStop
USA/WA-UW-28264/2020	6	2	7699-7701:AGA>TGA	None	earlyStop
USA/WA-UW-13321/2020	7	2	10552-10554:TTA>TAA	None	earlyStop
USA/WA-UW-13317/2020	8	2	10552-10554:TTA>TAA	None	earlyStop
USA/WA-UW-21695/2020	9	2	8884-8886:TTA>TAA	None	earlyStop
USA/WA-UW-11325/2020	10	2	8884-8886:TTA>TAA	None	earlyStop
USA/WA-UW-19426/2020	11	2	6958-6960:TGG>TGA	None	earlyStop
USA/WA-UW-22060/2020	12	2	10552-10554:TTA>TAA	None	earlyStop
USA/WA-CDC-FG-082134/2021	13	2	526-528:CTG>TAG	None	earlyStop
Ghana/NMIMR-CT-21-11915/2021	14	2	1225-1227:ATG>TGA	None	earlyStop
Pakistan/DUHS15/2021	15	2	9190-9192:GTA>TAA	None	earlyStop
USA/WA-CDC-UW21073066013/2021	16	2	5467-5469:TTG>TAG	None	earlyStop
USA/WA-UW-21070877105/2021	17	2	2902-2904:ATA>TAA	None	earlyStop
USA/ID-IBL-758489/2021	18	2	4381-4383:TGG>TGA	None	earlyStop
Congo/FCRM-147-13660/2021	19	2	520-522:GTT>TAG	None	earlyStop
USA/WA-PHL-007385/2021	20	2	6658-6660:AGT>TAA	None	earlyStop
USA/WA-CDC-FG-139500/2021	21	2	526-528:CTG>TAG	None	earlyStop
USA/WA-UW-21091489937/2021	22	2	5305-5307:TTA>TAA	None	earlyStop
USA/ID-IBL-769624/2021	23	2	4447-4449:ACT>TAA	None	earlyStop
USA/WA-PHL-006671/2021	24	4	6658-6660:AGT>TAA	None	earlyStop
USA/WA-PHL-006670/2021	24	4	6658-6660:AGT>TAA	None	earlyStop
USA/WA-PHL-006686/2021	24	4	6658-6660:AGT>TAA	None	earlyStop
USA/WA-PHL-006689/2021	24	4	6658-6660:AGT>TAA	None	earlyStop
USA/WA-UW-13102/2020	25	2	8884-8886:TTA>TAA	None	earlyStop
Pakistan/PPHRL-AH004/2021	26	2	11128-11130:TCT>TGA	None	earlyStop
USA/WA-UW-12378/2020	27	2	10552-10554:TTA>TAA	None	earlyStop
USA/WA-UW-22020/2020	28	2	10552-10554:TTA>TAA	None	earlyStop
USA/SC-MCRDPI_20_3336-T56/2020	29	2	9325-9327:GTA>TAG	None	earlyStop
USA/ID-IBL-729594/2021	30	2	10582-10584:TTA>TAG	None	earlyStop
USA/WA-UW-13293/2020	31	3	10552-10554:TTA>TAA	None	earlyStop
USA/ID-IBL-636757/2020	32	2	4381-4383:TGG>TGA	None	earlyStop
Russia/MOW-CRIE-160158/2020	33	2	4099-4101:TTA>TAA	None	earlyStop
Serbia/Zemun-659B22-2409/2020	34	2	8773-8775:TGG>TAG	None	earlyStop
Turkey/17_Ankara_GUMV_50104/2020	35	2	5167-5169:TAC>TAG	None	earlyStop
Israel/CVL_S10-2/2020	36	2	2545-2547:GGT>TGA	None	earlyStop
Panama/PAM19368-GMI/2021	37	2	11359-11361:ACT>TGA	None	earlyStop
USA/WA-UW-10381/2020	38	2	8884-8886:TTA>TAA	None	earlyStop
USA/WA-UW-22057/2020	39	3	10552-10554:TTA>TAA	None	earlyStop
USA/WA-UW-19536/2020	39	3	10552-10554:TTA>TAA	None	earlyStop
USA/WA-UW-13275/2020	40	4	10552-10554:TTA>TAA	None	earlyStop
USA/WA-UW-4730/2020	40	4	10552-10554:TTA>TAA	None	earlyStop
USA/WA-UW-13277/2020	41	2	10552-10554:TTA>TAA	None	earlyStop
USA/WA-UW-13288/2020	42	2	10552-10554:TTA>TAA	None	earlyStop
SaudiArabia/KFSHRC_025A/2021	43	2	2680-2682:ATG>TGA	None	earlyStop
Lithuania/LSMULKKGMMK5C18/2021	44	2	11359-11361:ACT>TGA	None	earlyStop
Gabon/CERMEL-AA0639/2021	45	2	1225-1227:ATG>TGA	None	earlyStop
USA/NV-NSPHL-367800/2021	46	2	11293-11295:TTT>TAA	None	earlyStop
France/COR-CERBAHC-12989876/2021	47	2	11287-11289:TCT>TAA	None	earlyStop
Australia/QLD5078/2021	48	2	11287-11289:TCT>TAA	None	earlyStop
Kiribati/KIR084/2022	49	2	526-528:CTG>TAG	None	earlyStop
Kiribati/KIR107/2022	50	2	529-531:GTA>TAG	None	earlyStop
Guadeloupe/CERBAHC-12336805/2021	51	2	11287-11289:TCT>TAA	None	earlyStop
Colombia/VAC-SYN-14134481474/2022	52	3	11137-11139:GCA>TGA	None	earlyStop
Slovenia/173215/2022	53	2	11287-11289:TCT>TAA	None	earlyStop
USA/ID-IBL-789430/2022	54	3	10579-10581:GAC>TAG	None	earlyStop
Lebanon/NIC12/2022	54	3	10579-10581:GAC>TAG	None	earlyStop
USA/WA-Curative-196090/2021	55	2	547-549:ATT>TAG	None	earlyStop
USA/WA-CDC-UW22031239108/2022	56	2	11284-11286:TTG>TGA	None	earlyStop
Moldova/Nr_9552/2022	57	3	2866-2868:GTA>TAA	None	earlyStop
USA/WA-UW-22041507859/2022	58	2	11284-11286:TTG>TGA	None	earlyStop
Moldova/Nr-5563/2022	59	2	2866-2868:GTA>TAA	None	earlyStop
USA/WA-CDC-UW22021009723/2022	60	2	11284-11286:TTG>TGA	None	earlyStop
