gene	missense	nonsense	synonymous	dS	dN	dStop	dN_dS	dStop_dS	dS_min	dN_min	dStop_min	dN_dS_min	dStop_dS_min	dS_max	dN_max	dStop_max	dN_dS_max	dStop_dS_max	CI
E	14	0	8	0.5620937994027752	0.44680713219076307	0.0	0.7948978136131297	0.0	0.21078517477604067	0.22340356609538153	0.0	0.3303471433197422	0.0	0.9836641489548564	0.7021254934426276	0.0	2.271136610323228	0.0	95
M	99	0	115	2.887769717691638	0.9808391584281145	0.0	0.3396528304937543	0.0	2.3604378562001216	0.7826898334931419	0.0	0.25819568628220246	0.0	3.465323661229966	1.188895949609836	0.0	0.44666179213299656	0.0	95
N	582	1	222	3.155975113856782	2.8204267712776545	0.0381745830572039	0.8936783940070211	0.012095970874292598	2.729491990362622	2.5781220658414297	0.0	0.7669886219451592	0.0	3.5966743414674136	3.0675775708226034	0.11452374917161169	1.051352415878169	0.03968431823782695	95
ORF1a	2446	2	1562	2.77687235107144	1.244499823386276	0.0112734665661673	0.448166017752344	0.004059771260935887	2.6222066055252076	1.1870065772527318	0.0	0.4211060192307063	0.0	2.9439824669489787	1.3050585279972946	0.028183666415418248	0.47649758316768887	0.0103481767454012	95
ORF1b	1060	0	606	1.7447226602102743	0.8865953614820573	0.0	0.5081583346749246	0.0	1.5863732438545564	0.8263737897587478	0.0	0.4596096376727889	0.0	1.9088302371607457	0.9468169332053669	0.0	0.5634033044016689	0.0	95
ORF3a	366	0	84	1.9665130913585853	3.011830817069378	0.0	1.531558996634304	0.0	1.568528299059824	2.690692298937869	0.0	1.2162084884748472	0.0	2.387908753792568	3.357450746897012	0.0	1.9694911751929018	0.0	95
ORF6	77	1	44	6.2832368951670485	3.6044132998169713	0.3174361318502717	0.5736554836233249	0.05052111469717747	4.426825994322239	2.8086337401171204	0.0	0.39336376019885133	0.0	8.282448634538383	4.400192859516822	0.9523083955508151	0.8542837018874807	0.18023749027101152	95
ORF7a	239	9	71	3.85547088603608	4.594642915502796	1.690563088996877	1.1917202985876207	0.43848420568284807	2.932329969661244	3.9602361531111967	0.7513613728875009	0.9074388150371363	0.16873917942266783	4.8329142092564945	5.248274125239596	2.8176051483281284	1.6092228875516972	0.7982661180380055	95
ORF7b	166	0	10	1.2997529169704842	11.597896728414975	0.0	8.923154991217727	0.0	0.5199011667881936	9.921092382138111	0.0	5.339494616410039	0.0	2.0796046671527746	13.344567922453374	0.0	20.964038834788635	0.0	95
ORF8	142	21	33	2.086188672374814	2.7929213997178013	3.7085110328203212	1.338767407138913	1.7776489163843152	1.3907924482498761	2.3405468068057633	2.1191491616116123	0.9493209837187635	0.9716341903218616	2.8448027350565646	3.2649644531912325	5.29787290402903	2.0222930199387106	3.103831441305947	95
ORF9b	132	0	18	0.8174654212126823	2.7982416866783386	0.0	3.4230704003690353	0.0	0.4541474562292679	2.331868072231949	0.0	2.2005452573800945	0.0	1.2261981318190234	3.2646153011247283	0.0	6.110605012229023	0.0	95
S	920	0	383	2.310783764155699	1.6434026057899358	0.0	0.7111883990540295	0.0	2.069448645183824	1.521933717535897	0.0	0.6274680963547185	0.0	2.5641856390761673	1.766657801224181	0.0	0.8049693670880792	0.0	95
S1	676	0	190	2.2085306238924534	2.2693240496046942	0.0	1.0275266392299758	0.0	1.8714391076141315	2.0779757199782627	0.0	0.8743161879280286	0.0	2.5456221401707753	2.4640293674701854	0.0	1.221328751625108	0.0	95
