gene	missense	nonsense	synonymous	undoStop	dS	dN	dStop	dN_dS	dStop_dS	dS_min	dN_min	dStop_min	dN_dS_min	dStop_dS_min	dS_max	dN_max	dStop_max	dN_dS_max	dStop_dS_max	CI
E	200	0	148	0	10.39873528895134	6.382959031296615	0.0	0.6138207054927642	0.0	8.782715615668362	5.4574299717586054	0.0	0.49430620342329074	0.0	12.014754962234319	7.340402885991107	0.0	0.7653959682555748	0.0	95
M	538	1	836	0	20.99283029556704	5.330216840750764	0.12188670874195849	0.2539065369321031	0.00580611127827279	19.58661199825633	4.894288325893824	0.0	0.2283466611559087	0.0	22.39904859287775	5.785960288101201	0.36566012622587546	0.2820293472857619	0.01808910197007224	95
N	2108	2	1609	0	22.873711523403433	10.215566381191229	0.0763491661144078	0.4466072928627733	0.0033378564749446324	21.7222070899692	9.788988947270758	0.0	0.41879896275022577	0.0	23.982567644488245	10.656560945085157	0.1908729152860195	0.4768848070851342	0.008455125427243143	95
ORF1a	12123	5	10768	1	19.14299710392911	6.168058609530591	0.028183666415418248	0.32220966111229227	0.001472270317046307	18.77855482994086	6.056633645785049	0.00563673328308365	0.3138686323060066	0.00029429008305094926	19.50566161072717	6.278465993698547	0.056367332830836496	0.33091504721685044	0.0029279607307709558	95
ORF1b	5117	4	5452	0	15.696745781297716	4.279913645946875	0.04214111859595898	0.2726624808465896	0.0026847041535302866	15.282158218475473	4.165304467260951	0.010535279648989745	0.2624959865468151	0.0006590871327921074	16.125728745606843	4.3970320567879355	0.08428223719191796	0.28336555595872603	0.0054301639937106745	95
ORF3a	1600	3	828	0	19.384200471963197	13.166473517243183	0.2792932020034632	0.679237378724329	0.014408291041326446	18.09601734277265	12.532836979225856	0.0	0.6253296580602445	0.0	20.742030939806032	13.816568147157067	0.6516841380080808	0.7382504232582676	0.03302211720130407	95
ORF6	269	18	174	1	24.84734590361515	12.592041268191757	5.713850373304891	0.5067761086853017	0.229958177242325	21.27732494045205	11.094103273462625	3.1743613185027173	0.42025539450386257	0.1274290536310973	28.560167705304767	14.089979262920888	8.570775559957337	0.614885380849136	0.35305343682498136	95
ORF7a	733	55	325	1	17.64828222481304	14.091519904031587	10.331218877203138	0.7984641068477059	0.5853951532278707	15.80200039206337	13.01495085270039	7.701454072096885	0.7004348147088937	0.42970675871434116	19.60316887125387	15.168088955362787	13.148824025531265	0.9153435495554689	0.7629022957989279	95
ORF7b	213	13	77	0	10.00809746067273	14.881638573207166	7.53413542898208	1.4869597974725202	0.7528039628498628	7.798517501822905	12.855499988122622	3.477293274914806	1.1646688241549241	0.3628999730089042	12.3476527112196	16.977644006053247	12.17052646220182	1.9539132654320701	1.2653679916093847	95
ORF8	753	64	250	0	15.804459639203138	14.810350802728905	11.302128861928598	0.9370994732392917	0.7151227640768901	13.90792448249876	13.689248550729506	8.653192409914084	0.8142110897057345	0.5316242067881689	17.764212634464325	15.97078997585109	14.127661077410748	1.085542017697993	0.931149432391784	95
ORF9b	727	8	231	0	10.490806238896088	15.411528077387517	1.9426717564666687	1.469050874302414	0.18517849936680267	9.128363870208284	14.309190443241505	0.7285019086750008	1.2759990461814155	0.0691426185674538	11.853248607583893	16.51386571153353	3.3996755738166704	1.7078506846495405	0.33142742784399337	95
S	4430	5	2837	0	17.1166933130802	7.913340808314581	0.0962984048747023	0.4623171464004312	0.0056259934739330275	16.477155247804735	7.673975646166917	0.01925968097494046	0.4416637768658287	0.0011307688408249217	17.726064488484187	8.154492277642452	0.1925968097494046	0.48511981934233245	0.011145910255270947	95
S1	2880	5	1618	0	18.807381839252578	9.668126128493371	0.20936848602297894	0.5140601818545091	0.011132250507404993	17.912345744306688	9.305487473968894	0.041873697204595786	0.48431289840241876	0.002247284007608394	19.690794088809557	10.034037846550932	0.4187369720459579	0.5462658800627173	0.02210059057789114	95
